"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-05 16:12:00,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,288 kb/s,0 b/s,288 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:12:15,0 b/s,0 b/s,0 b/s,0 b/s,108 Mb/s,0 b/s,110 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,281 kb/s,0 b/s,282 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:12:30,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,286 kb/s,0 b/s,286 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:12:45,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,287 kb/s,0 b/s,287 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:13:00,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,287 kb/s,0 b/s,287 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:13:15,0 b/s,0 b/s,0 b/s,0 b/s,108 Mb/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,285 kb/s,0 b/s,285 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:13:30,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,290 kb/s,0 b/s,290 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:13:45,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,292 kb/s,0 b/s,292 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:14:00,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,292 kb/s,0 b/s,292 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:14:15,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,287 kb/s,0 b/s,287 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:14:30,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,308 kb/s,0 b/s,309 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:14:45,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,289 kb/s,0 b/s,290 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:15:00,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,290 kb/s,0 b/s,290 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:15:15,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,286 kb/s,0 b/s,286 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:15:30,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,291 kb/s,0 b/s,291 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:15:45,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,289 kb/s,0 b/s,290 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:16:00,0 b/s,0 b/s,0 b/s,0 b/s,107 Mb/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,285 kb/s,0 b/s,286 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:16:15,0 b/s,0 b/s,0 b/s,0 b/s,106 Mb/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,286 kb/s,0 b/s,286 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:16:30,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,286 kb/s,0 b/s,286 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:16:45,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,288 kb/s,0 b/s,288 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:17:00,0 b/s,0 b/s,0 b/s,0 b/s,105 Mb/s,0 b/s,106 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,288 kb/s,0 b/s,289 kb/s,0 b/s,0 b/s,0 b/s
