"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth002f3a0","recv veth26bb1ac","recv veth87a6e6e","recv veth9b70a02","recv vethafd5ab8","recv vethb92efdb","recv vethc74234b","recv vethc9ef2b2","recv vethef092b8","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth002f3a0 ","trans veth26bb1ac ","trans veth87a6e6e ","trans veth9b70a02 ","trans vethafd5ab8 ","trans vethb92efdb ","trans vethc74234b ","trans vethc9ef2b2 ","trans vethef092b8 ","trans wlp0s20f3 "
2024-03-04 17:46:45,0 b/s,0 b/s,9.79 kb/s,3.86 kb/s,0 b/s,101 b/s,0 b/s,336 b/s,336 b/s,4.52 kb/s,984 b/s,336 b/s,435 b/s,374 b/s,0 b/s,0 b/s,20.0 kb/s,4.16 kb/s,0 b/s,101 b/s,0 b/s,197 b/s,197 b/s,4.31 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:47:00,0 b/s,0 b/s,73.8 kb/s,64.6 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,68.0 kb/s,1.97 kb/s,672 b/s,848 b/s,958 b/s,0 b/s,0 b/s,83.7 kb/s,65.8 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,66.2 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:47:15,0 b/s,0 b/s,12.9 kb/s,2.29 kb/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,2.95 kb/s,984 b/s,336 b/s,413 b/s,281 b/s,0 b/s,0 b/s,18.4 kb/s,2.66 kb/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,2.83 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:47:30,0 b/s,0 b/s,10.2 kb/s,1.69 kb/s,0 b/s,78.9 b/s,0 b/s,672 b/s,672 b/s,2.62 kb/s,1.97 kb/s,672 b/s,870 b/s,163 b/s,0 b/s,0 b/s,17.7 kb/s,1.90 kb/s,0 b/s,78.9 b/s,0 b/s,394 b/s,394 b/s,2.32 kb/s,3.45 kb/s,394 b/s,500 b/s,0 b/s
2024-03-04 17:47:45,0 b/s,0 b/s,24.1 kb/s,16.1 kb/s,0 b/s,56.5 b/s,0 b/s,336 b/s,336 b/s,17.2 kb/s,984 b/s,336 b/s,413 b/s,889 b/s,0 b/s,0 b/s,32.9 kb/s,17.1 kb/s,0 b/s,56.5 b/s,0 b/s,197 b/s,197 b/s,17.3 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:48:00,0 b/s,0 b/s,61.5 kb/s,52.4 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,55.4 kb/s,1.97 kb/s,672 b/s,848 b/s,806 b/s,0 b/s,0 b/s,71.0 kb/s,54.2 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,54.6 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:48:15,0 b/s,0 b/s,301 kb/s,282 kb/s,0 b/s,78.9 b/s,0 b/s,336 b/s,336 b/s,294 kb/s,984 b/s,336 b/s,435 b/s,235 b/s,0 b/s,0 b/s,313 kb/s,292 kb/s,0 b/s,78.9 b/s,0 b/s,197 b/s,197 b/s,292 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:48:30,0 b/s,0 b/s,27.4 kb/s,17.4 kb/s,0 b/s,56.5 b/s,0 b/s,672 b/s,672 b/s,19.3 kb/s,1.97 kb/s,672 b/s,848 b/s,835 b/s,0 b/s,0 b/s,34.6 kb/s,18.4 kb/s,0 b/s,56.5 b/s,0 b/s,394 b/s,394 b/s,18.8 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:48:45,0 b/s,0 b/s,37.1 kb/s,27.5 kb/s,0 b/s,78.9 b/s,0 b/s,336 b/s,336 b/s,28.8 kb/s,984 b/s,336 b/s,435 b/s,2.03 kb/s,0 b/s,0 b/s,44.5 kb/s,29.2 kb/s,0 b/s,78.9 b/s,0 b/s,197 b/s,197 b/s,29.3 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:49:00,0 b/s,0 b/s,9.58 kb/s,2.40 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,3.52 kb/s,1.97 kb/s,672 b/s,848 b/s,268 b/s,0 b/s,0 b/s,18.5 kb/s,2.83 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,3.31 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:49:15,0 b/s,0 b/s,39.1 kb/s,33.0 kb/s,0 b/s,135 b/s,0 b/s,336 b/s,336 b/s,35.2 kb/s,984 b/s,336 b/s,413 b/s,1.02 kb/s,0 b/s,0 b/s,51.2 kb/s,34.4 kb/s,0 b/s,135 b/s,0 b/s,197 b/s,197 b/s,34.4 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:49:30,0 b/s,0 b/s,15.2 kb/s,5.46 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,6.68 kb/s,1.97 kb/s,672 b/s,870 b/s,43.7 b/s,0 b/s,0 b/s,21.7 kb/s,6.00 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,6.50 kb/s,3.45 kb/s,394 b/s,500 b/s,0 b/s
2024-03-04 17:49:45,0 b/s,0 b/s,9.02 kb/s,2.42 kb/s,0 b/s,135 b/s,0 b/s,336 b/s,336 b/s,3.02 kb/s,984 b/s,336 b/s,413 b/s,847 b/s,0 b/s,0 b/s,18.5 kb/s,2.79 kb/s,0 b/s,135 b/s,0 b/s,197 b/s,197 b/s,2.88 kb/s,1.73 kb/s,197 b/s,228 b/s,0 b/s
2024-03-04 17:50:00,0 b/s,0 b/s,17.0 kb/s,1.89 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,2.90 kb/s,1.97 kb/s,672 b/s,848 b/s,230 b/s,0 b/s,0 b/s,18.0 kb/s,2.15 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,2.62 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
2024-03-04 17:50:15,0 b/s,0 b/s,8.54 kb/s,3.05 kb/s,0 b/s,135 b/s,0 b/s,336 b/s,336 b/s,3.69 kb/s,984 b/s,336 b/s,435 b/s,659 b/s,0 b/s,0 b/s,19.2 kb/s,3.41 kb/s,0 b/s,135 b/s,0 b/s,197 b/s,197 b/s,3.53 kb/s,1.73 kb/s,197 b/s,250 b/s,0 b/s
2024-03-04 17:50:30,0 b/s,0 b/s,10.7 kb/s,1.87 kb/s,0 b/s,0 b/s,0 b/s,672 b/s,672 b/s,2.89 kb/s,1.97 kb/s,672 b/s,848 b/s,175 b/s,0 b/s,0 b/s,17.9 kb/s,2.14 kb/s,0 b/s,0 b/s,0 b/s,394 b/s,394 b/s,2.61 kb/s,3.45 kb/s,394 b/s,478 b/s,0 b/s
