"Time","recv br-6a9d1a178dea","recv br-9c758857c168","recv br01","recv demo-oai","recv docker0","recv enp3s0","recv ogstun","recv virbr1","trans br-6a9d1a178dea ","trans br-9c758857c168 ","trans br01 ","trans demo-oai ","trans docker0 ","trans enp3s0 ","trans ogstun ","trans virbr1 "
2024-03-20 17:15:30,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,306 kb/s,0 b/s,0 b/s,306 kb/s,0 b/s,0 b/s
2024-03-20 17:15:45,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,305 kb/s,0 b/s,0 b/s,305 kb/s,0 b/s,0 b/s
2024-03-20 17:16:00,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,299 kb/s,0 b/s,0 b/s,299 kb/s,0 b/s,0 b/s
2024-03-20 17:16:15,0 b/s,0 b/s,106 Mb/s,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,303 kb/s,0 b/s,0 b/s,303 kb/s,0 b/s,0 b/s
2024-03-20 17:16:30,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,300 kb/s,0 b/s,0 b/s,300 kb/s,0 b/s,0 b/s
2024-03-20 17:16:45,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,299 kb/s,0 b/s,0 b/s,300 kb/s,0 b/s,0 b/s
2024-03-20 17:17:00,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,301 kb/s,0 b/s,0 b/s,301 kb/s,0 b/s,0 b/s
2024-03-20 17:17:15,0 b/s,0 b/s,106 Mb/s,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,298 kb/s,0 b/s,0 b/s,299 kb/s,0 b/s,0 b/s
2024-03-20 17:17:30,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,298 kb/s,0 b/s,0 b/s,298 kb/s,0 b/s,0 b/s
2024-03-20 17:17:45,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,286 kb/s,0 b/s,0 b/s,286 kb/s,0 b/s,0 b/s
2024-03-20 17:18:00,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,275 kb/s,0 b/s,0 b/s,275 kb/s,0 b/s,0 b/s
2024-03-20 17:18:15,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,278 kb/s,0 b/s,0 b/s,278 kb/s,0 b/s,0 b/s
2024-03-20 17:18:30,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,277 kb/s,0 b/s,0 b/s,277 kb/s,0 b/s,0 b/s
2024-03-20 17:18:45,0 b/s,0 b/s,106 Mb/s,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,277 kb/s,0 b/s,0 b/s,278 kb/s,0 b/s,0 b/s
2024-03-20 17:19:00,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,109 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,337 kb/s,0 b/s,0 b/s,338 kb/s,0 b/s,0 b/s
2024-03-20 17:19:15,0 b/s,0 b/s,106 Mb/s,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,306 kb/s,0 b/s,0 b/s,306 kb/s,0 b/s,0 b/s
2024-03-20 17:19:30,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,291 kb/s,0 b/s,0 b/s,291 kb/s,0 b/s,0 b/s
2024-03-20 17:19:45,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,283 kb/s,0 b/s,0 b/s,283 kb/s,0 b/s,0 b/s
2024-03-20 17:20:00,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,288 kb/s,0 b/s,0 b/s,288 kb/s,0 b/s,0 b/s
2024-03-20 17:20:15,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,339 kb/s,0 b/s,0 b/s,339 kb/s,0 b/s,0 b/s
2024-03-20 17:20:30,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,108 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,285 kb/s,0 b/s,0 b/s,285 kb/s,0 b/s,0 b/s
2024-03-20 17:20:45,0 b/s,0 b/s,106 Mb/s,0 b/s,0 b/s,107 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,285 kb/s,0 b/s,0 b/s,285 kb/s,0 b/s,0 b/s
2024-03-20 17:21:00,0 b/s,0 b/s,84.9 Mb/s,0 b/s,0 b/s,85.7 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,261 kb/s,0 b/s,0 b/s,261 kb/s,0 b/s,0 b/s
2024-03-20 17:21:15,0 b/s,0 b/s,69.7 kb/s,0 b/s,0 b/s,73.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,133 kb/s,0 b/s,0 b/s,133 kb/s,0 b/s,0 b/s
2024-03-20 17:21:30,0 b/s,0 b/s,70.6 kb/s,0 b/s,0 b/s,74.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,130 kb/s,0 b/s,0 b/s,130 kb/s,0 b/s,0 b/s
2024-03-20 17:21:45,0 b/s,0 b/s,95.8 kb/s,0 b/s,0 b/s,101 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,255 kb/s,0 b/s,0 b/s,256 kb/s,0 b/s,0 b/s
2024-03-20 17:22:00,0 b/s,0 b/s,126 kb/s,0 b/s,0 b/s,131 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,230 kb/s,0 b/s,0 b/s,230 kb/s,0 b/s,0 b/s
2024-03-20 17:22:15,0 b/s,0 b/s,69.1 kb/s,0 b/s,0 b/s,72.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,213 kb/s,0 b/s,0 b/s,213 kb/s,0 b/s,0 b/s
2024-03-20 17:22:30,0 b/s,0 b/s,69.1 kb/s,0 b/s,0 b/s,72.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,213 kb/s,0 b/s,0 b/s,213 kb/s,0 b/s,0 b/s
2024-03-20 17:22:45,0 b/s,0 b/s,69.1 kb/s,0 b/s,0 b/s,72.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,213 kb/s,0 b/s,0 b/s,213 kb/s,0 b/s,0 b/s
