"Time","recv br-8cb9266c6180","recv br-free5gc","recv docker0","recv enp0s31f6","recv veth0dfedbc","recv veth1b8088c","recv veth2cd0f68","recv veth31c7187","recv veth37a63b1","recv veth3986898","recv veth5a45575","recv veth648e8df","recv veth7bc4468","recv veth8427b23","recv vetha018ad9","recv vethdd45395","recv vethe3adaec","recv vethe5c9066","recv vethe915203","recv vethefaeb1a","recv wlp0s20f3","trans br-8cb9266c6180 ","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans veth0dfedbc ","trans veth1b8088c ","trans veth2cd0f68 ","trans veth31c7187 ","trans veth37a63b1 ","trans veth3986898 ","trans veth5a45575 ","trans veth648e8df ","trans veth7bc4468 ","trans veth8427b23 ","trans vetha018ad9 ","trans vethdd45395 ","trans vethe3adaec ","trans vethe5c9066 ","trans vethe915203 ","trans vethefaeb1a ","trans wlp0s20f3 "
2024-03-20 17:18:45,106 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,460 b/s,107 Mb/s,462 b/s,462 b/s,0 b/s,540 b/s,4.07 kb/s,1.61 kb/s,461 b/s,5.40 kb/s,9.20 kb/s,1.44 kb/s,8.88 kb/s,2.19 kb/s,100 Mb/s,0 b/s,0 b/s,108 Mb/s,492 b/s,314 b/s,25.3 kb/s,492 b/s,100 Mb/s,498 b/s,498 b/s,314 b/s,1.92 kb/s,1.27 kb/s,853 b/s,492 b/s,5.44 kb/s,1.41 kb/s,4.27 kb/s,1.49 kb/s,0 b/s
2024-03-20 17:19:00,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,270 b/s,3.84 kb/s,804 b/s,230 b/s,2.72 kb/s,9.27 kb/s,716 b/s,8.56 kb/s,654 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,582 b/s,493 b/s,25.5 kb/s,582 b/s,101 Mb/s,582 b/s,619 b/s,493 b/s,1.30 kb/s,1.36 kb/s,763 b/s,582 b/s,3.05 kb/s,1.54 kb/s,2.49 kb/s,1.49 kb/s,0 b/s
2024-03-20 17:19:15,107 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,462 b/s,462 b/s,0 b/s,681 b/s,4.07 kb/s,1.75 kb/s,461 b/s,5.38 kb/s,9.21 kb/s,1.43 kb/s,8.88 kb/s,314 b/s,100 Mb/s,0 b/s,0 b/s,108 Mb/s,476 b/s,291 b/s,25.3 kb/s,476 b/s,100 Mb/s,469 b/s,469 b/s,291 b/s,2.04 kb/s,1.24 kb/s,972 b/s,476 b/s,5.41 kb/s,1.50 kb/s,4.23 kb/s,1.47 kb/s,0 b/s
2024-03-20 17:19:30,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,230 b/s,231 b/s,0 b/s,270 b/s,3.84 kb/s,804 b/s,230 b/s,2.66 kb/s,9.09 kb/s,716 b/s,8.53 kb/s,575 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,515 b/s,426 b/s,25.4 kb/s,515 b/s,101 Mb/s,515 b/s,515 b/s,426 b/s,1.23 kb/s,1.29 kb/s,695 b/s,515 b/s,2.99 kb/s,1.43 kb/s,2.37 kb/s,1.40 kb/s,0 b/s
2024-03-20 17:19:45,107 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,462 b/s,462 b/s,0 b/s,540 b/s,4.07 kb/s,1.61 kb/s,461 b/s,5.39 kb/s,9.43 kb/s,1.43 kb/s,8.84 kb/s,338 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,559 b/s,381 b/s,25.4 kb/s,559 b/s,101 Mb/s,559 b/s,559 b/s,381 b/s,1.99 kb/s,1.33 kb/s,921 b/s,559 b/s,5.54 kb/s,1.58 kb/s,4.35 kb/s,1.53 kb/s,0 b/s
2024-03-20 17:20:00,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,270 b/s,3.84 kb/s,804 b/s,230 b/s,2.68 kb/s,9.05 kb/s,716 b/s,8.59 kb/s,43.7 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,403 b/s,314 b/s,25.3 kb/s,403 b/s,101 Mb/s,403 b/s,403 b/s,314 b/s,1.12 kb/s,1.18 kb/s,583 b/s,403 b/s,2.90 kb/s,1.48 kb/s,2.28 kb/s,1.35 kb/s,0 b/s
2024-03-20 17:20:15,107 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,462 b/s,462 b/s,0 b/s,681 b/s,4.07 kb/s,1.75 kb/s,461 b/s,5.36 kb/s,9.49 kb/s,1.43 kb/s,8.84 kb/s,45.9 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,671 b/s,493 b/s,25.5 kb/s,671 b/s,101 Mb/s,671 b/s,671 b/s,493 b/s,2.24 kb/s,1.45 kb/s,1.17 kb/s,671 b/s,5.63 kb/s,1.56 kb/s,4.43 kb/s,1.64 kb/s,0 b/s
2024-03-20 17:20:30,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,310 b/s,108 Mb/s,285 b/s,231 b/s,0 b/s,270 b/s,3.92 kb/s,964 b/s,230 b/s,2.73 kb/s,8.97 kb/s,716 b/s,8.59 kb/s,45.9 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,403 b/s,314 b/s,25.3 kb/s,483 b/s,101 Mb/s,403 b/s,403 b/s,314 b/s,1.12 kb/s,1.26 kb/s,743 b/s,403 b/s,2.93 kb/s,1.36 kb/s,2.33 kb/s,1.35 kb/s,0 b/s
2024-03-20 17:20:45,106 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,107 Mb/s,478 b/s,462 b/s,0 b/s,540 b/s,4.08 kb/s,1.61 kb/s,461 b/s,5.37 kb/s,9.23 kb/s,1.43 kb/s,8.82 kb/s,45.9 b/s,100 Mb/s,0 b/s,0 b/s,108 Mb/s,469 b/s,291 b/s,25.3 kb/s,469 b/s,100 Mb/s,469 b/s,469 b/s,291 b/s,1.90 kb/s,1.24 kb/s,831 b/s,469 b/s,5.45 kb/s,1.52 kb/s,4.23 kb/s,1.41 kb/s,0 b/s
2024-03-20 17:21:00,82.5 Mb/s,0 b/s,0 b/s,81.2 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,83.3 Mb/s,246 b/s,255 b/s,0 b/s,270 b/s,3.85 kb/s,804 b/s,230 b/s,2.74 kb/s,9.18 kb/s,716 b/s,8.61 kb/s,43.7 b/s,77.9 Mb/s,0 b/s,0 b/s,83.6 Mb/s,537 b/s,448 b/s,25.4 kb/s,537 b/s,77.9 Mb/s,537 b/s,537 b/s,448 b/s,1.25 kb/s,1.31 kb/s,718 b/s,537 b/s,3.07 kb/s,1.49 kb/s,2.48 kb/s,1.50 kb/s,0 b/s
2024-03-20 17:21:15,946 b/s,0 b/s,0 b/s,5.79 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,5.61 kb/s,462 b/s,509 b/s,0 b/s,681 b/s,4.10 kb/s,1.75 kb/s,461 b/s,5.51 kb/s,9.17 kb/s,1.43 kb/s,8.88 kb/s,135 b/s,855 b/s,0 b/s,0 b/s,13.6 kb/s,469 b/s,291 b/s,25.3 kb/s,469 b/s,1.90 kb/s,469 b/s,469 b/s,291 b/s,2.04 kb/s,1.24 kb/s,972 b/s,469 b/s,5.49 kb/s,1.33 kb/s,4.37 kb/s,1.47 kb/s,0 b/s
2024-03-20 17:21:30,1.45 kb/s,0 b/s,0 b/s,7.82 kb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,6.11 kb/s,231 b/s,231 b/s,0 b/s,270 b/s,3.84 kb/s,804 b/s,230 b/s,2.78 kb/s,9.03 kb/s,716 b/s,8.53 kb/s,43.7 b/s,1.29 kb/s,0 b/s,0 b/s,14.0 kb/s,515 b/s,426 b/s,25.4 kb/s,515 b/s,2.56 kb/s,515 b/s,515 b/s,426 b/s,1.23 kb/s,1.29 kb/s,695 b/s,515 b/s,2.99 kb/s,1.24 kb/s,2.50 kb/s,1.40 kb/s,0 b/s
2024-03-20 17:21:45,8.61 kb/s,0 b/s,0 b/s,14.5 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,13.7 kb/s,462 b/s,477 b/s,0 b/s,540 b/s,4.08 kb/s,1.61 kb/s,461 b/s,5.49 kb/s,9.34 kb/s,1.47 kb/s,8.84 kb/s,89.6 b/s,8.89 kb/s,0 b/s,0 b/s,21.6 kb/s,559 b/s,381 b/s,25.4 kb/s,559 b/s,10.1 kb/s,559 b/s,559 b/s,381 b/s,1.99 kb/s,1.33 kb/s,921 b/s,559 b/s,5.57 kb/s,1.41 kb/s,4.44 kb/s,1.53 kb/s,0 b/s
2024-03-20 17:22:00,8.61 kb/s,0 b/s,0 b/s,14.5 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,13.7 kb/s,462 b/s,477 b/s,0 b/s,540 b/s,4.08 kb/s,1.61 kb/s,461 b/s,5.49 kb/s,9.34 kb/s,1.47 kb/s,8.84 kb/s,89.6 b/s,8.89 kb/s,0 b/s,0 b/s,21.6 kb/s,559 b/s,381 b/s,25.4 kb/s,559 b/s,10.1 kb/s,559 b/s,559 b/s,381 b/s,1.99 kb/s,1.33 kb/s,921 b/s,559 b/s,5.57 kb/s,1.41 kb/s,4.44 kb/s,1.53 kb/s,0 b/s
2024-03-20 17:22:15,8.61 kb/s,0 b/s,0 b/s,14.5 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,13.7 kb/s,462 b/s,477 b/s,0 b/s,540 b/s,4.08 kb/s,1.61 kb/s,461 b/s,5.49 kb/s,9.34 kb/s,1.47 kb/s,8.84 kb/s,89.6 b/s,8.89 kb/s,0 b/s,0 b/s,21.6 kb/s,559 b/s,381 b/s,25.4 kb/s,559 b/s,10.1 kb/s,559 b/s,559 b/s,381 b/s,1.99 kb/s,1.33 kb/s,921 b/s,559 b/s,5.57 kb/s,1.41 kb/s,4.44 kb/s,1.53 kb/s,0 b/s
