"Time","recv br-8cb9266c6180","recv br-free5gc","recv docker0","recv enp0s31f6","recv veth0dfedbc","recv veth1b8088c","recv veth2cd0f68","recv veth31c7187","recv veth37a63b1","recv veth3986898","recv veth5a45575","recv veth648e8df","recv veth7bc4468","recv veth8427b23","recv vetha018ad9","recv vethdd45395","recv vethe3adaec","recv vethe5c9066","recv vethe915203","recv vethefaeb1a","recv wlp0s20f3","trans br-8cb9266c6180 ","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans veth0dfedbc ","trans veth1b8088c ","trans veth2cd0f68 ","trans veth31c7187 ","trans veth37a63b1 ","trans veth3986898 ","trans veth5a45575 ","trans veth648e8df ","trans veth7bc4468 ","trans veth8427b23 ","trans vetha018ad9 ","trans vethdd45395 ","trans vethe3adaec ","trans vethe5c9066 ","trans vethe915203 ","trans vethefaeb1a ","trans wlp0s20f3 "
2024-03-20 17:10:00,753 b/s,0 b/s,0 b/s,5.89 kb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,4.95 kb/s,231 b/s,231 b/s,0 b/s,961 b/s,3.30 kb/s,945 b/s,230 b/s,2.73 kb/s,8.45 kb/s,716 b/s,8.45 kb/s,131 b/s,686 b/s,0 b/s,0 b/s,13.2 kb/s,403 b/s,351 b/s,24.0 kb/s,403 b/s,1.41 kb/s,403 b/s,440 b/s,314 b/s,1.81 kb/s,1.21 kb/s,762 b/s,440 b/s,2.87 kb/s,1.34 kb/s,2.33 kb/s,1.35 kb/s,0 b/s
2024-03-20 17:10:15,798 b/s,0 b/s,0 b/s,6.29 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,4.85 kb/s,462 b/s,462 b/s,0 b/s,1.07 kb/s,3.53 kb/s,1.61 kb/s,461 b/s,5.51 kb/s,8.71 kb/s,1.43 kb/s,8.66 kb/s,0 b/s,641 b/s,0 b/s,0 b/s,13.3 kb/s,604 b/s,426 b/s,24.1 kb/s,604 b/s,1.38 kb/s,604 b/s,604 b/s,426 b/s,2.56 kb/s,1.38 kb/s,965 b/s,604 b/s,5.55 kb/s,1.30 kb/s,4.51 kb/s,1.49 kb/s,0 b/s
2024-03-20 17:10:30,544 kb/s,0 b/s,0 b/s,591 kb/s,774 b/s,0 b/s,3.53 kb/s,3.47 kb/s,570 kb/s,3.93 kb/s,1.64 kb/s,0 b/s,807 b/s,5.90 kb/s,6.22 kb/s,230 b/s,17.9 kb/s,11.2 kb/s,4.08 kb/s,12.8 kb/s,131 b/s,578 kb/s,0 b/s,0 b/s,586 kb/s,1.06 kb/s,336 b/s,25.3 kb/s,6.50 kb/s,578 kb/s,3.52 kb/s,1.85 kb/s,336 b/s,1.68 kb/s,4.12 kb/s,2.52 kb/s,425 b/s,20.7 kb/s,3.78 kb/s,3.26 kb/s,5.45 kb/s,48 b/s
2024-03-20 17:10:45,295 kb/s,0 b/s,0 b/s,314 kb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,310 kb/s,462 b/s,462 b/s,0 b/s,1.09 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.72 kb/s,9.20 kb/s,1.54 kb/s,8.77 kb/s,91.7 b/s,307 kb/s,0 b/s,0 b/s,322 kb/s,507 b/s,291 b/s,25.3 kb/s,469 b/s,308 kb/s,507 b/s,469 b/s,329 b/s,2.49 kb/s,1.24 kb/s,831 b/s,469 b/s,5.56 kb/s,1.40 kb/s,4.59 kb/s,1.36 kb/s,0 b/s
2024-03-20 17:11:00,16.1 Mb/s,0 b/s,0 b/s,15.9 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,16.3 Mb/s,231 b/s,231 b/s,0 b/s,983 b/s,3.84 kb/s,945 b/s,230 b/s,2.71 kb/s,9.09 kb/s,716 b/s,8.66 kb/s,371 b/s,15.3 Mb/s,0 b/s,0 b/s,16.3 Mb/s,537 b/s,485 b/s,25.4 kb/s,574 b/s,15.3 Mb/s,537 b/s,537 b/s,448 b/s,1.97 kb/s,1.35 kb/s,896 b/s,574 b/s,3.02 kb/s,1.28 kb/s,2.48 kb/s,1.57 kb/s,261 b/s
2024-03-20 17:11:15,107 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,462 b/s,462 b/s,0 b/s,1.03 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.45 kb/s,9.21 kb/s,1.43 kb/s,8.79 kb/s,43.7 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,469 b/s,291 b/s,25.3 kb/s,469 b/s,101 Mb/s,469 b/s,507 b/s,291 b/s,2.39 kb/s,1.24 kb/s,831 b/s,469 b/s,5.41 kb/s,1.49 kb/s,4.32 kb/s,1.38 kb/s,0 b/s
2024-03-20 17:11:30,108 Mb/s,0 b/s,0 b/s,106 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,109 Mb/s,231 b/s,231 b/s,0 b/s,820 b/s,3.84 kb/s,804 b/s,230 b/s,2.75 kb/s,9.20 kb/s,716 b/s,8.65 kb/s,676 b/s,102 Mb/s,0 b/s,0 b/s,110 Mb/s,537 b/s,448 b/s,25.4 kb/s,537 b/s,102 Mb/s,537 b/s,537 b/s,448 b/s,1.80 kb/s,1.31 kb/s,718 b/s,537 b/s,3.01 kb/s,1.52 kb/s,2.48 kb/s,1.54 kb/s,0 b/s
2024-03-20 17:11:45,107 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,462 b/s,462 b/s,0 b/s,1.11 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.46 kb/s,9.29 kb/s,1.36 kb/s,8.77 kb/s,875 b/s,100 Mb/s,0 b/s,0 b/s,108 Mb/s,537 b/s,358 b/s,25.3 kb/s,537 b/s,100 Mb/s,537 b/s,537 b/s,358 b/s,2.54 kb/s,1.31 kb/s,898 b/s,537 b/s,5.41 kb/s,1.45 kb/s,4.40 kb/s,1.42 kb/s,0 b/s
2024-03-20 17:12:00,108 Mb/s,0 b/s,0 b/s,106 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,109 Mb/s,231 b/s,231 b/s,0 b/s,903 b/s,3.84 kb/s,945 b/s,230 b/s,2.72 kb/s,9.04 kb/s,716 b/s,8.61 kb/s,476 b/s,102 Mb/s,0 b/s,0 b/s,109 Mb/s,403 b/s,314 b/s,25.3 kb/s,403 b/s,102 Mb/s,403 b/s,403 b/s,314 b/s,1.75 kb/s,1.18 kb/s,724 b/s,403 b/s,2.87 kb/s,1.49 kb/s,2.32 kb/s,1.37 kb/s,0 b/s
2024-03-20 17:12:15,108 Mb/s,0 b/s,0 b/s,106 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,109 Mb/s,462 b/s,462 b/s,0 b/s,1.09 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.52 kb/s,9.43 kb/s,1.47 kb/s,8.82 kb/s,1.60 kb/s,102 Mb/s,0 b/s,0 b/s,109 Mb/s,671 b/s,493 b/s,25.5 kb/s,671 b/s,102 Mb/s,671 b/s,671 b/s,493 b/s,2.65 kb/s,1.45 kb/s,1.03 kb/s,671 b/s,5.66 kb/s,1.52 kb/s,4.58 kb/s,1.61 kb/s,0 b/s
2024-03-20 17:12:30,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,843 b/s,3.84 kb/s,804 b/s,230 b/s,2.73 kb/s,9.00 kb/s,716 b/s,8.59 kb/s,196 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,403 b/s,314 b/s,25.3 kb/s,403 b/s,101 Mb/s,403 b/s,403 b/s,314 b/s,1.69 kb/s,1.18 kb/s,583 b/s,403 b/s,2.91 kb/s,1.49 kb/s,2.33 kb/s,1.35 kb/s,0 b/s
2024-03-20 17:12:45,108 Mb/s,0 b/s,0 b/s,107 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,110 Mb/s,462 b/s,462 b/s,0 b/s,1.03 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.47 kb/s,9.32 kb/s,1.43 kb/s,8.84 kb/s,94.9 b/s,102 Mb/s,0 b/s,0 b/s,110 Mb/s,469 b/s,291 b/s,25.3 kb/s,469 b/s,102 Mb/s,507 b/s,469 b/s,291 b/s,2.39 kb/s,1.24 kb/s,831 b/s,469 b/s,5.44 kb/s,1.58 kb/s,4.34 kb/s,1.44 kb/s,0 b/s
2024-03-20 17:13:00,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,961 b/s,3.84 kb/s,945 b/s,230 b/s,2.73 kb/s,9.22 kb/s,716 b/s,8.59 kb/s,45.9 b/s,100 Mb/s,0 b/s,0 b/s,108 Mb/s,642 b/s,515 b/s,25.5 kb/s,642 b/s,100 Mb/s,604 b/s,604 b/s,553 b/s,2.05 kb/s,1.38 kb/s,926 b/s,604 b/s,3.09 kb/s,1.45 kb/s,2.57 kb/s,1.55 kb/s,0 b/s
2024-03-20 17:13:15,108 Mb/s,0 b/s,0 b/s,106 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,109 Mb/s,462 b/s,462 b/s,0 b/s,1.08 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.47 kb/s,9.23 kb/s,1.43 kb/s,8.82 kb/s,131 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,469 b/s,329 b/s,25.3 kb/s,469 b/s,101 Mb/s,469 b/s,469 b/s,291 b/s,2.44 kb/s,1.28 kb/s,868 b/s,507 b/s,5.41 kb/s,1.52 kb/s,4.34 kb/s,1.41 kb/s,0 b/s
2024-03-20 17:13:30,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,820 b/s,3.84 kb/s,804 b/s,230 b/s,2.74 kb/s,9.14 kb/s,716 b/s,8.61 kb/s,43.7 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,492 b/s,403 b/s,25.4 kb/s,492 b/s,101 Mb/s,492 b/s,492 b/s,403 b/s,1.76 kb/s,1.27 kb/s,673 b/s,492 b/s,2.98 kb/s,1.42 kb/s,2.43 kb/s,1.50 kb/s,0 b/s
2024-03-20 17:13:45,107 Mb/s,0 b/s,0 b/s,106 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,507 b/s,462 b/s,0 b/s,1.09 kb/s,4.07 kb/s,1.61 kb/s,461 b/s,5.49 kb/s,9.37 kb/s,1.40 kb/s,8.82 kb/s,777 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,581 b/s,403 b/s,25.4 kb/s,581 b/s,101 Mb/s,581 b/s,619 b/s,403 b/s,2.56 kb/s,1.36 kb/s,943 b/s,581 b/s,5.54 kb/s,1.54 kb/s,4.47 kb/s,1.53 kb/s,0 b/s
2024-03-20 17:14:00,108 Mb/s,0 b/s,0 b/s,106 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,109 Mb/s,231 b/s,231 b/s,0 b/s,926 b/s,3.86 kb/s,945 b/s,230 b/s,2.71 kb/s,8.98 kb/s,716 b/s,8.61 kb/s,230 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,403 b/s,314 b/s,25.3 kb/s,403 b/s,101 Mb/s,403 b/s,403 b/s,314 b/s,1.77 kb/s,1.18 kb/s,724 b/s,403 b/s,2.90 kb/s,1.43 kb/s,2.31 kb/s,1.37 kb/s,0 b/s
2024-03-20 17:14:15,108 Mb/s,0 b/s,0 b/s,106 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,109 Mb/s,477 b/s,507 b/s,0 b/s,1.09 kb/s,4.09 kb/s,1.61 kb/s,461 b/s,5.45 kb/s,9.47 kb/s,1.43 kb/s,8.82 kb/s,1.12 kb/s,102 Mb/s,0 b/s,0 b/s,109 Mb/s,671 b/s,493 b/s,25.5 kb/s,671 b/s,102 Mb/s,671 b/s,671 b/s,493 b/s,2.65 kb/s,1.45 kb/s,1.03 kb/s,671 b/s,5.70 kb/s,1.56 kb/s,4.52 kb/s,1.61 kb/s,0 b/s
2024-03-20 17:14:30,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,820 b/s,3.84 kb/s,804 b/s,230 b/s,2.73 kb/s,9.03 kb/s,681 b/s,8.59 kb/s,531 b/s,101 Mb/s,0 b/s,0 b/s,109 Mb/s,403 b/s,314 b/s,25.3 kb/s,403 b/s,101 Mb/s,403 b/s,403 b/s,314 b/s,1.67 kb/s,1.18 kb/s,583 b/s,403 b/s,2.84 kb/s,1.48 kb/s,2.33 kb/s,1.35 kb/s,0 b/s
2024-03-20 17:14:45,107 Mb/s,0 b/s,0 b/s,105 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,108 Mb/s,462 b/s,477 b/s,0 b/s,1.05 kb/s,4.08 kb/s,1.61 kb/s,461 b/s,5.50 kb/s,9.27 kb/s,1.40 kb/s,8.79 kb/s,89.6 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,469 b/s,291 b/s,25.3 kb/s,469 b/s,101 Mb/s,469 b/s,469 b/s,291 b/s,2.41 kb/s,1.24 kb/s,831 b/s,469 b/s,5.41 kb/s,1.56 kb/s,4.36 kb/s,1.38 kb/s,48 b/s
2024-03-20 17:15:00,107 Mb/s,0 b/s,0 b/s,105 Mb/s,230 b/s,0 b/s,3.53 kb/s,230 b/s,108 Mb/s,231 b/s,231 b/s,0 b/s,820 b/s,3.84 kb/s,804 b/s,230 b/s,2.74 kb/s,9.16 kb/s,716 b/s,8.65 kb/s,316 b/s,101 Mb/s,0 b/s,0 b/s,108 Mb/s,537 b/s,448 b/s,25.4 kb/s,537 b/s,101 Mb/s,537 b/s,537 b/s,448 b/s,1.80 kb/s,1.31 kb/s,718 b/s,537 b/s,3.01 kb/s,1.48 kb/s,2.48 kb/s,1.54 kb/s,0 b/s
2024-03-20 17:15:15,108 Mb/s,0 b/s,0 b/s,106 Mb/s,461 b/s,0 b/s,3.50 kb/s,461 b/s,109 Mb/s,462 b/s,462 b/s,0 b/s,1.23 kb/s,4.07 kb/s,1.75 kb/s,461 b/s,5.48 kb/s,9.18 kb/s,1.43 kb/s,8.77 kb/s,144 b/s,102 Mb/s,0 b/s,0 b/s,109 Mb/s,469 b/s,291 b/s,25.3 kb/s,469 b/s,102 Mb/s,469 b/s,469 b/s,291 b/s,2.59 kb/s,1.24 kb/s,972 b/s,469 b/s,5.41 kb/s,1.40 kb/s,4.35 kb/s,1.36 kb/s,0 b/s
2024-03-20 17:15:30,108 Mb/s,0 b/s,0 b/s,106 Mb/s,230 b/s,0 b/s,3.53 kb/s,310 b/s,109 Mb/s,231 b/s,231 b/s,0 b/s,785 b/s,3.92 kb/s,964 b/s,273 b/s,2.75 kb/s,9.22 kb/s,716 b/s,8.67 kb/s,0 b/s,102 Mb/s,0 b/s,0 b/s,109 Mb/s,537 b/s,448 b/s,25.4 kb/s,617 b/s,102 Mb/s,537 b/s,537 b/s,448 b/s,1.77 kb/s,1.39 kb/s,878 b/s,537 b/s,3.05 kb/s,1.54 kb/s,2.49 kb/s,1.56 kb/s,0 b/s
2024-03-20 17:15:45,106 Mb/s,0 b/s,0 b/s,105 Mb/s,514 b/s,0 b/s,3.50 kb/s,531 b/s,107 Mb/s,462 b/s,462 b/s,0 b/s,662 b/s,4.07 kb/s,1.61 kb/s,493 b/s,5.44 kb/s,9.30 kb/s,1.43 kb/s,8.77 kb/s,135 b/s,100 Mb/s,0 b/s,0 b/s,108 Mb/s,537 b/s,358 b/s,25.4 kb/s,537 b/s,100 Mb/s,537 b/s,537 b/s,358 b/s,2.12 kb/s,1.31 kb/s,898 b/s,537 b/s,5.63 kb/s,1.52 kb/s,4.37 kb/s,1.42 kb/s,0 b/s
2024-03-20 17:16:00,108 Mb/s,0 b/s,0 b/s,106 Mb/s,262 b/s,0 b/s,3.53 kb/s,245 b/s,109 Mb/s,231 b/s,231 b/s,0 b/s,270 b/s,3.84 kb/s,804 b/s,242 b/s,2.71 kb/s,9.00 kb/s,716 b/s,8.65 kb/s,417 b/s,102 Mb/s,0 b/s,0 b/s,109 Mb/s,403 b/s,314 b/s,25.3 kb/s,403 b/s,102 Mb/s,403 b/s,403 b/s,314 b/s,1.12 kb/s,1.18 kb/s,583 b/s,403 b/s,2.97 kb/s,1.49 kb/s,2.31 kb/s,1.40 kb/s,145 b/s
