"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv ip_vti0","recv veth12dd5df","recv veth1c3c36b","recv veth3a1e070","recv veth5040e0e","recv veth56531bb","recv veth7a6539b","recv veth846a426","recv veth9202ca9","recv vetha7cb358","recv vethb5e236d","recv vethc2d84b4","recv vethf152619","recv vethfead0d0","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans ip_vti0 ","trans veth12dd5df ","trans veth1c3c36b ","trans veth3a1e070 ","trans veth5040e0e ","trans veth56531bb ","trans veth7a6539b ","trans veth846a426 ","trans veth9202ca9 ","trans vetha7cb358 ","trans vethb5e236d ","trans vethc2d84b4 ","trans vethf152619 ","trans vethfead0d0 ","trans wlp0s20f3 "
2024-03-04 18:14:45,11.8 kb/s,0 b/s,26.3 kb/s,0 b/s,0 b/s,277 b/s,701 b/s,524 b/s,78.9 b/s,11.8 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,267 b/s,11.7 kb/s,0 b/s,30.4 kb/s,0 b/s,0 b/s,658 b/s,135 b/s,904 b/s,78.9 b/s,11.6 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:15:00,6.40 kb/s,0 b/s,15.3 kb/s,0 b/s,0 b/s,209 b/s,814 b/s,455 b/s,56.5 b/s,6.26 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,43.7 b/s,7.24 kb/s,0 b/s,25.1 kb/s,0 b/s,0 b/s,658 b/s,135 b/s,904 b/s,56.5 b/s,7.16 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:15:15,7.85 kb/s,0 b/s,14.1 kb/s,0 b/s,0 b/s,277 b/s,610 b/s,770 b/s,22.4 b/s,7.76 kb/s,0 b/s,313 b/s,0 b/s,0 b/s,277 b/s,3.16 kb/s,0 b/s,97.1 b/s,7.86 kb/s,0 b/s,26.4 kb/s,0 b/s,0 b/s,658 b/s,101 b/s,1.15 kb/s,22.4 b/s,7.79 kb/s,0 b/s,730 b/s,0 b/s,0 b/s,658 b/s,1.64 kb/s,0 b/s,0 b/s
2024-03-04 18:15:30,48.3 kb/s,0 b/s,56.1 kb/s,0 b/s,0 b/s,209 b/s,780 b/s,455 b/s,135 b/s,49.0 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,453 b/s,48.6 kb/s,0 b/s,67.9 kb/s,0 b/s,0 b/s,658 b/s,214 b/s,904 b/s,135 b/s,48.5 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:15:45,2.45 kb/s,0 b/s,8.60 kb/s,0 b/s,0 b/s,277 b/s,565 b/s,524 b/s,0 b/s,2.23 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,135 b/s,2.31 kb/s,0 b/s,21.0 kb/s,0 b/s,0 b/s,658 b/s,56.5 b/s,904 b/s,0 b/s,2.26 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:16:00,15.1 kb/s,0 b/s,23.9 kb/s,0 b/s,0 b/s,209 b/s,859 b/s,455 b/s,135 b/s,15.2 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,263 b/s,15.3 kb/s,0 b/s,34.0 kb/s,0 b/s,0 b/s,658 b/s,237 b/s,904 b/s,135 b/s,15.2 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,695 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:16:15,2.53 kb/s,0 b/s,9.34 kb/s,0 b/s,0 b/s,277 b/s,531 b/s,524 b/s,22.4 b/s,2.39 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,43.7 b/s,2.54 kb/s,0 b/s,20.9 kb/s,0 b/s,0 b/s,658 b/s,78.9 b/s,904 b/s,22.4 b/s,2.48 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:16:30,46.6 kb/s,0 b/s,65.4 kb/s,0 b/s,0 b/s,209 b/s,836 b/s,455 b/s,135 b/s,47.2 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,43.7 b/s,46.8 kb/s,0 b/s,66.4 kb/s,0 b/s,0 b/s,658 b/s,214 b/s,904 b/s,135 b/s,46.7 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:16:45,3.04 kb/s,0 b/s,10.9 kb/s,0 b/s,0 b/s,277 b/s,701 b/s,524 b/s,0 b/s,2.70 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,43.7 b/s,2.85 kb/s,0 b/s,21.2 kb/s,0 b/s,0 b/s,658 b/s,78.9 b/s,904 b/s,0 b/s,2.77 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:17:00,11.8 kb/s,0 b/s,17.8 kb/s,0 b/s,0 b/s,209 b/s,780 b/s,455 b/s,135 b/s,11.9 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,186 b/s,12.0 kb/s,0 b/s,30.8 kb/s,0 b/s,0 b/s,658 b/s,214 b/s,941 b/s,135 b/s,11.9 kb/s,37.3 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:17:15,2.57 kb/s,0 b/s,9.29 kb/s,0 b/s,0 b/s,313 b/s,644 b/s,524 b/s,22.4 b/s,2.31 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.91 kb/s,0 b/s,621 b/s,2.36 kb/s,0 b/s,20.9 kb/s,0 b/s,0 b/s,693 b/s,78.9 b/s,904 b/s,22.4 b/s,2.31 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.39 kb/s,0 b/s,0 b/s
2024-03-04 18:17:30,113 kb/s,0 b/s,120 kb/s,0 b/s,0 b/s,209 b/s,610 b/s,491 b/s,78.9 b/s,115 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,244 b/s,2.95 kb/s,0 b/s,603 b/s,113 kb/s,0 b/s,134 kb/s,0 b/s,0 b/s,658 b/s,158 b/s,939 b/s,78.9 b/s,113 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,693 b/s,1.15 kb/s,0 b/s,0 b/s
2024-03-04 18:17:45,10.5 kb/s,0 b/s,14.4 kb/s,0 b/s,0 b/s,277 b/s,678 b/s,524 b/s,56.5 b/s,10.5 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,131 b/s,10.5 kb/s,0 b/s,29.3 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,56.5 b/s,10.4 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:18:00,3.96 kb/s,0 b/s,11.2 kb/s,0 b/s,0 b/s,209 b/s,678 b/s,455 b/s,56.5 b/s,3.78 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,97.1 b/s,3.79 kb/s,0 b/s,22.5 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,56.5 b/s,3.74 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:18:15,43.4 kb/s,0 b/s,51.3 kb/s,0 b/s,0 b/s,277 b/s,588 b/s,524 b/s,56.5 b/s,44.7 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,0 b/s,44.9 kb/s,0 b/s,63.7 kb/s,0 b/s,0 b/s,658 b/s,135 b/s,904 b/s,56.5 b/s,44.8 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:18:30,179 kb/s,0 b/s,192 kb/s,0 b/s,0 b/s,209 b/s,678 b/s,455 b/s,56.5 b/s,184 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,181 b/s,183 kb/s,0 b/s,204 kb/s,0 b/s,0 b/s,658 b/s,113 b/s,904 b/s,56.5 b/s,183 kb/s,0 b/s,658 b/s,0 b/s,37.3 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:18:45,73.2 kb/s,0 b/s,81.0 kb/s,0 b/s,0 b/s,277 b/s,622 b/s,524 b/s,56.5 b/s,75.1 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,43.7 b/s,74.4 kb/s,0 b/s,94.2 kb/s,0 b/s,37.3 b/s,658 b/s,113 b/s,904 b/s,56.5 b/s,74.4 kb/s,0 b/s,658 b/s,37.3 b/s,0 b/s,658 b/s,1.39 kb/s,0 b/s,0 b/s
2024-03-04 18:19:00,3.46 kb/s,0 b/s,8.30 kb/s,0 b/s,0 b/s,209 b/s,588 b/s,455 b/s,0 b/s,3.31 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,404 b/s,3.37 kb/s,0 b/s,21.8 kb/s,0 b/s,0 b/s,658 b/s,78.9 b/s,904 b/s,0 b/s,3.29 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,37.3 b/s,0 b/s
2024-03-04 18:19:15,5.02 kb/s,0 b/s,10.8 kb/s,0 b/s,0 b/s,242 b/s,735 b/s,489 b/s,113 b/s,4.85 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,242 b/s,2.77 kb/s,0 b/s,94.9 b/s,4.90 kb/s,0 b/s,23.5 kb/s,0 b/s,0 b/s,622 b/s,170 b/s,869 b/s,113 b/s,4.85 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,622 b/s,1.25 kb/s,0 b/s,0 b/s
2024-03-04 18:19:30,4.25 kb/s,0 b/s,12.0 kb/s,0 b/s,0 b/s,209 b/s,509 b/s,455 b/s,0 b/s,4.22 kb/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,177 b/s,4.16 kb/s,0 b/s,22.7 kb/s,0 b/s,0 b/s,658 b/s,56.5 b/s,904 b/s,0 b/s,4.11 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:19:45,3.46 kb/s,0 b/s,7.72 kb/s,0 b/s,0 b/s,277 b/s,814 b/s,524 b/s,113 b/s,3.23 kb/s,0 b/s,277 b/s,0 b/s,0 b/s,277 b/s,2.88 kb/s,0 b/s,486 b/s,3.26 kb/s,0 b/s,22.1 kb/s,0 b/s,0 b/s,658 b/s,192 b/s,904 b/s,113 b/s,3.18 kb/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.36 kb/s,0 b/s,0 b/s
2024-03-04 18:20:00,843 b/s,0 b/s,7.86 kb/s,0 b/s,0 b/s,209 b/s,509 b/s,455 b/s,0 b/s,461 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,0 b/s,517 b/s,0 b/s,19.1 kb/s,0 b/s,0 b/s,658 b/s,56.5 b/s,904 b/s,0 b/s,461 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
2024-03-04 18:20:15,849 b/s,0 b/s,15.7 kb/s,0 b/s,0 b/s,277 b/s,701 b/s,770 b/s,135 b/s,418 b/s,0 b/s,313 b/s,0 b/s,0 b/s,277 b/s,3.16 kb/s,0 b/s,533 b/s,474 b/s,0 b/s,19.0 kb/s,0 b/s,0 b/s,658 b/s,192 b/s,1.15 kb/s,135 b/s,418 b/s,0 b/s,693 b/s,0 b/s,0 b/s,658 b/s,1.64 kb/s,0 b/s,0 b/s
2024-03-04 18:20:30,521 b/s,0 b/s,9.11 kb/s,0 b/s,0 b/s,209 b/s,565 b/s,455 b/s,0 b/s,44.8 b/s,0 b/s,209 b/s,0 b/s,0 b/s,209 b/s,2.88 kb/s,0 b/s,0 b/s,101 b/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,658 b/s,56.5 b/s,904 b/s,0 b/s,44.8 b/s,0 b/s,658 b/s,0 b/s,0 b/s,658 b/s,1.08 kb/s,0 b/s,0 b/s
