"Time","recv br-free5gc","recv docker0","recv enp0s31f6","recv oai-cn5g","recv veth06dac42","recv veth5003763","recv veth5bea449","recv veth6bd4b4b","recv veth93dd1f0","recv veth959d830","recv veth9661569","recv veth9ebb4af","recv vethb8cd11d","recv wlp0s20f3","trans br-free5gc ","trans docker0 ","trans enp0s31f6 ","trans oai-cn5g ","trans veth06dac42 ","trans veth5003763 ","trans veth5bea449 ","trans veth6bd4b4b ","trans veth93dd1f0 ","trans veth959d830 ","trans veth9661569 ","trans veth9ebb4af ","trans vethb8cd11d ","trans wlp0s20f3 "
2024-03-05 16:01:00,0 b/s,0 b/s,17.5 kb/s,8.50 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,443 b/s,0 b/s,9.43 kb/s,0 b/s,0 b/s,447 b/s,0 b/s,0 b/s,24.9 kb/s,8.99 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,0 b/s,9.22 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:01:15,0 b/s,0 b/s,76.4 kb/s,62.8 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,135 b/s,65.8 kb/s,0 b/s,0 b/s,143 b/s,0 b/s,0 b/s,81.3 kb/s,63.5 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,135 b/s,63.8 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:01:30,0 b/s,0 b/s,990 kb/s,981 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,0 b/s,998 kb/s,0 b/s,0 b/s,89.6 b/s,0 b/s,0 b/s,1.02 Mb/s,975 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,0 b/s,975 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:01:45,0 b/s,0 b/s,396 kb/s,392 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,135 b/s,397 kb/s,0 b/s,0 b/s,325 b/s,0 b/s,0 b/s,414 kb/s,383 kb/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,135 b/s,384 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:02:00,0 b/s,0 b/s,9.10 kb/s,776 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,0 b/s,1.30 kb/s,0 b/s,0 b/s,219 b/s,0 b/s,0 b/s,16.5 kb/s,934 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,0 b/s,1.18 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:02:15,0 b/s,0 b/s,12.0 kb/s,128 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,135 b/s,756 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,15.8 kb/s,158 b/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,135 b/s,478 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:02:30,0 b/s,0 b/s,9.78 kb/s,174 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,0 b/s,594 b/s,0 b/s,0 b/s,177 b/s,0 b/s,0 b/s,15.8 kb/s,204 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,0 b/s,454 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:02:45,0 b/s,0 b/s,15.6 kb/s,49.1 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,885 b/s,56.5 b/s,734 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,15.7 kb/s,56.5 b/s,3.17 kb/s,197 b/s,394 b/s,394 b/s,455 b/s,56.5 b/s,455 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:03:00,0 b/s,0 b/s,12.0 kb/s,1.07 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,78.9 b/s,1.53 kb/s,0 b/s,0 b/s,849 b/s,0 b/s,0 b/s,16.9 kb/s,1.22 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,78.9 b/s,1.39 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:03:15,0 b/s,0 b/s,15.1 kb/s,169 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,886 b/s,56.5 b/s,883 b/s,0 b/s,0 b/s,879 b/s,0 b/s,0 b/s,15.8 kb/s,159 b/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,456 b/s,56.5 b/s,558 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:03:30,0 b/s,0 b/s,9.67 kb/s,515 b/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,465 b/s,78.9 b/s,885 b/s,0 b/s,0 b/s,173 b/s,0 b/s,0 b/s,16.2 kb/s,575 b/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,250 b/s,78.9 b/s,746 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:03:45,0 b/s,0 b/s,12.0 kb/s,49.1 b/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,908 b/s,56.5 b/s,756 b/s,0 b/s,0 b/s,881 b/s,0 b/s,0 b/s,15.7 kb/s,56.5 b/s,3.18 kb/s,197 b/s,394 b/s,394 b/s,478 b/s,56.5 b/s,478 b/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:04:00,0 b/s,0 b/s,20.3 kb/s,10.6 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,443 b/s,101 b/s,11.6 kb/s,0 b/s,0 b/s,278 b/s,0 b/s,0 b/s,27.1 kb/s,11.9 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,101 b/s,12.0 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:04:15,0 b/s,0 b/s,48.5 kb/s,31.3 kb/s,1.77 kb/s,336 b/s,672 b/s,672 b/s,930 b/s,56.5 b/s,33.3 kb/s,0 b/s,0 b/s,1.55 kb/s,0 b/s,0 b/s,48.6 kb/s,34.4 kb/s,3.17 kb/s,197 b/s,394 b/s,394 b/s,500 b/s,56.5 b/s,34.9 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:04:30,0 b/s,0 b/s,8.79 kb/s,1.42 kb/s,1.18 kb/s,672 b/s,336 b/s,336 b/s,443 b/s,101 b/s,1.73 kb/s,0 b/s,0 b/s,43.7 b/s,0 b/s,0 b/s,17.1 kb/s,1.51 kb/s,2.09 kb/s,394 b/s,197 b/s,197 b/s,228 b/s,101 b/s,1.63 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:04:45,0 b/s,0 b/s,235 kb/s,224 kb/s,1.77 kb/s,469 b/s,672 b/s,672 b/s,908 b/s,56.5 b/s,229 kb/s,101 b/s,0 b/s,1.32 kb/s,0 b/s,0 b/s,245 kb/s,222 kb/s,3.18 kb/s,298 b/s,394 b/s,394 b/s,478 b/s,56.5 b/s,222 kb/s,133 b/s,0 b/s,0 b/s
2024-03-05 16:05:00,0 b/s,0 b/s,235 kb/s,224 kb/s,1.77 kb/s,469 b/s,672 b/s,672 b/s,908 b/s,56.5 b/s,229 kb/s,101 b/s,0 b/s,1.32 kb/s,0 b/s,0 b/s,245 kb/s,222 kb/s,3.18 kb/s,298 b/s,394 b/s,394 b/s,478 b/s,56.5 b/s,222 kb/s,133 b/s,0 b/s,0 b/s
2024-03-05 16:05:15,0 b/s,0 b/s,235 kb/s,224 kb/s,1.77 kb/s,469 b/s,672 b/s,672 b/s,908 b/s,56.5 b/s,229 kb/s,101 b/s,0 b/s,1.32 kb/s,0 b/s,0 b/s,245 kb/s,222 kb/s,3.18 kb/s,298 b/s,394 b/s,394 b/s,478 b/s,56.5 b/s,222 kb/s,133 b/s,0 b/s,0 b/s
