"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-05 16:23:45,0 b/s,0 b/s,0 b/s,0 b/s,82.3 kb/s,0 b/s,88.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:00,0 b/s,0 b/s,0 b/s,0 b/s,85.0 kb/s,0 b/s,89.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,143 kb/s,0 b/s,144 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:15,0 b/s,0 b/s,0 b/s,0 b/s,82.5 kb/s,0 b/s,88.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:30,0 b/s,0 b/s,0 b/s,0 b/s,73.5 kb/s,0 b/s,77.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:24:45,0 b/s,0 b/s,0 b/s,0 b/s,81.5 kb/s,0 b/s,87.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,138 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:25:00,0 b/s,0 b/s,0 b/s,0 b/s,80.1 kb/s,0 b/s,83.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,142 kb/s,0 b/s,142 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:25:15,0 b/s,0 b/s,0 b/s,0 b/s,86.3 kb/s,0 b/s,92.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:25:30,0 b/s,0 b/s,0 b/s,0 b/s,74.4 kb/s,0 b/s,78.0 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:25:45,0 b/s,0 b/s,0 b/s,0 b/s,80.0 kb/s,0 b/s,85.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:26:00,0 b/s,0 b/s,0 b/s,0 b/s,73.3 kb/s,0 b/s,76.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:26:15,0 b/s,0 b/s,0 b/s,0 b/s,84.7 kb/s,0 b/s,90.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,140 kb/s,0 b/s,140 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:26:30,0 b/s,0 b/s,0 b/s,0 b/s,41.4 kb/s,0 b/s,43.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,48.1 kb/s,0 b/s,48.5 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:26:45,0 b/s,0 b/s,0 b/s,0 b/s,152 kb/s,0 b/s,156 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,20.9 kb/s,0 b/s,21.2 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:27:00,0 b/s,0 b/s,0 b/s,0 b/s,22.7 kb/s,0 b/s,23.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,3.14 kb/s,0 b/s,3.40 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:27:15,0 b/s,0 b/s,0 b/s,0 b/s,25.9 kb/s,0 b/s,28.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.87 kb/s,0 b/s,3.11 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:27:30,0 b/s,0 b/s,0 b/s,0 b/s,20.9 kb/s,0 b/s,21.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.87 kb/s,0 b/s,3.31 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:27:45,0 b/s,0 b/s,0 b/s,0 b/s,28.9 kb/s,0 b/s,32.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.75 kb/s,0 b/s,2.97 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:28:00,0 b/s,0 b/s,0 b/s,0 b/s,21.9 kb/s,0 b/s,23.1 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,3.07 kb/s,0 b/s,3.34 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:28:15,0 b/s,0 b/s,0 b/s,0 b/s,29.0 kb/s,0 b/s,31.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,3.31 kb/s,0 b/s,3.53 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:28:30,0 b/s,0 b/s,0 b/s,0 b/s,31.6 kb/s,0 b/s,32.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,11.0 kb/s,0 b/s,11.3 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:28:45,0 b/s,0 b/s,0 b/s,0 b/s,29.9 kb/s,0 b/s,33.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.39 kb/s,0 b/s,2.82 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:29:00,0 b/s,0 b/s,0 b/s,0 b/s,21.4 kb/s,0 b/s,22.4 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,3.48 kb/s,0 b/s,3.74 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:29:15,0 b/s,0 b/s,0 b/s,0 b/s,24.5 kb/s,0 b/s,26.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.35 kb/s,0 b/s,2.57 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:29:30,0 b/s,0 b/s,0 b/s,0 b/s,25.7 kb/s,0 b/s,26.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,3.68 kb/s,0 b/s,3.95 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:29:45,0 b/s,0 b/s,0 b/s,0 b/s,28.6 kb/s,0 b/s,31.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,2.35 kb/s,0 b/s,2.75 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:30:00,0 b/s,0 b/s,0 b/s,0 b/s,33.0 kb/s,0 b/s,34.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,22.9 kb/s,0 b/s,23.1 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:30:15,0 b/s,0 b/s,0 b/s,0 b/s,159 kb/s,0 b/s,163 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,18.2 kb/s,0 b/s,18.5 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:30:30,0 b/s,0 b/s,0 b/s,0 b/s,88.4 kb/s,0 b/s,92.6 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,184 kb/s,0 b/s,184 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:30:45,0 b/s,0 b/s,0 b/s,0 b/s,61.9 kb/s,0 b/s,65.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,92.4 kb/s,0 b/s,92.8 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:31:00,0 b/s,0 b/s,0 b/s,0 b/s,36.7 kb/s,0 b/s,38.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,48.0 kb/s,0 b/s,48.3 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:31:15,0 b/s,0 b/s,0 b/s,0 b/s,28.4 kb/s,0 b/s,31.5 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,1.38 kb/s,0 b/s,1.61 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:31:30,0 b/s,0 b/s,0 b/s,0 b/s,36.0 kb/s,0 b/s,37.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,46.6 kb/s,0 b/s,46.9 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:31:45,0 b/s,0 b/s,0 b/s,0 b/s,110 kb/s,0 b/s,116 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,162 kb/s,0 b/s,162 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:32:00,0 b/s,0 b/s,0 b/s,0 b/s,143 kb/s,0 b/s,154 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,238 kb/s,0 b/s,238 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:32:15,0 b/s,0 b/s,0 b/s,0 b/s,126 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,202 kb/s,0 b/s,203 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:32:30,0 b/s,0 b/s,0 b/s,0 b/s,72.1 kb/s,0 b/s,75.7 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:32:45,0 b/s,0 b/s,0 b/s,0 b/s,86.0 kb/s,0 b/s,90.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,140 kb/s,0 b/s,140 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:33:00,0 b/s,0 b/s,0 b/s,0 b/s,71.2 kb/s,0 b/s,74.3 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,138 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:33:15,0 b/s,0 b/s,0 b/s,0 b/s,86.8 kb/s,0 b/s,92.2 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,141 kb/s,0 b/s,141 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:33:30,0 b/s,0 b/s,0 b/s,0 b/s,73.2 kb/s,0 b/s,76.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:33:45,0 b/s,0 b/s,0 b/s,0 b/s,73.2 kb/s,0 b/s,76.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
2024-03-05 16:34:00,0 b/s,0 b/s,0 b/s,0 b/s,73.2 kb/s,0 b/s,76.8 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,137 kb/s,0 b/s,137 kb/s,0 b/s,0 b/s,0 b/s
