"Time","recv br-0d249a6fe5fb","recv br-10cfd4613d3d","recv br-ec97404de1ef","recv br-free5gc","recv br01","recv docker0","recv enp3s0","recv oai-gnb","recv ogstun","recv virbr1","trans br-0d249a6fe5fb ","trans br-10cfd4613d3d ","trans br-ec97404de1ef ","trans br-free5gc ","trans br01 ","trans docker0 ","trans enp3s0 ","trans oai-gnb ","trans ogstun ","trans virbr1 "
2024-03-04 18:08:30,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,248 kb/s,0 b/s,248 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:08:45,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.9 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,310 kb/s,0 b/s,311 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:09:00,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,171 kb/s,0 b/s,171 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:09:15,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,244 kb/s,0 b/s,245 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:09:30,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,150 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:09:45,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,150 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:10:00,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,158 kb/s,0 b/s,158 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:10:15,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,159 kb/s,0 b/s,159 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:10:30,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,150 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:10:45,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,150 kb/s,0 b/s,151 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:11:00,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,157 kb/s,0 b/s,157 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:11:15,0 b/s,0 b/s,0 b/s,0 b/s,99.7 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,215 kb/s,0 b/s,216 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:11:30,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,162 kb/s,0 b/s,162 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:11:45,0 b/s,0 b/s,0 b/s,0 b/s,99.6 Mb/s,0 b/s,101 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,160 kb/s,0 b/s,161 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:12:00,0 b/s,0 b/s,0 b/s,0 b/s,98.9 Mb/s,0 b/s,99.8 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,154 kb/s,0 b/s,154 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:12:15,0 b/s,0 b/s,0 b/s,0 b/s,60.7 Mb/s,0 b/s,61.3 Mb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,106 kb/s,0 b/s,106 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:12:30,0 b/s,0 b/s,0 b/s,0 b/s,80.7 kb/s,0 b/s,85.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:12:45,0 b/s,0 b/s,0 b/s,0 b/s,80.7 kb/s,0 b/s,85.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
2024-03-04 18:13:00,0 b/s,0 b/s,0 b/s,0 b/s,80.7 kb/s,0 b/s,85.9 kb/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,0 b/s,149 kb/s,0 b/s,149 kb/s,0 b/s,0 b/s,0 b/s
