1725578100000,16492797952,695885824,3695267840,12101644288,0
1725578130000,16492797952,694968320,3695304704,12102524928,0
1725578160000,16492797952,3058663424,3695337472,9738797056,0
1725578190000,16492797952,3073835008,3695374336,9723588608,0
1725578220000,16492797952,3081904128,3695407104,9715486720,0
1725578250000,16492797952,3082354688,3695443968,9714999296,0
1725578280000,16492797952,3088080896,3695484928,9709232128,0
1725578310000,16492797952,3085201408,3695521792,9712074752,0
1725578340000,16492797952,3089399808,3695554560,9707843584,0
1725578370000,16492797952,3090878464,3695591424,9706328064,0
1725578400000,16492797952,3093118976,3695628288,9704050688,0
